N°;Name;Index;Bands;Formula;Reference
1;Anthocyanin Reflectance Index (550,700)p;ARI;[550,700];(1 / R550) - (1 / R700);Gitelson et al., 2001
2;Aphid Index (740,887,691,698);AI;[740,887,691,698];(R740 - R887) / (R691 - R698);Mirik et al., 2006a
3;BI (460,660);BI;[460,660];6 * (R460 / R660);Inoue et al., 2008
4;Blue Green Index (400,550);BGI;[400,550];R400 / R550;Zarco-Tejada et al., 2005
5;Blue Green Index (450,550);BGI;[450,550];R450 / R550;Zarco-Tejada et al., 2005
6;Blue Red Index (400,690);BRI;[400,690];R400 / R690;Zarco-Tejada et al., 2005
7;Blue Red Index (450,690);BRI;[450,690];R450 / R690;Zarco-Tejada et al., 2005
8;Canopy index (415,695);CI;[415,695];R415 / R695;Read et al., 2002
9;Canopy Water Mass Index (850,725);CWMI;[850,725];R850 / R725;Winterhalter et al., 2011
10;Canopy Water Mass Index (890,715);CWMI;[890,715];R890 / R715;Winterhalter et al., 2011
11;Canopy Water Mass Index (980,715);CWMI;[980,715];R980 / R715;Winterhalter et al., 2011
12;Carter (605,760);Ctr;[605,760];R605 / R760;Carter, 1994
13;Carter (695,420);Ctr;[695,420];R695 / R420;Carter, 1994
14;Carter (695,670);Ctr;[695,670];R695 / R670;Carter, 1994
15;Carter (695,760);Ctr;[695,760];R695 / R760;Carter, 1994
16;Carter (710,760);Ctr;[710,760];R710 / R760;Carter, 1994
17;Curvature Index (675,690,683);CI;[675,690,683];(R675 * R690) / (R683 * R683);Zarco-Tejada et al., 2003a
18;Damage Sensitive Spectral Index (719,873,509,537);DSSI;[719,873,509,537];(R719 - R873 - R509 - R537) / ((R719 - R873) + (R509 - R537));Mirik et al., 2006b
19;Damage Sensitive Spectral Index (747,901,537,572);DSSI;[747,901,537,572];(R747 - R901 - R537 - R572) / ((R747 - R901) + (R537 - R572));Mirik et al., 2006b
20;Datt (672,550,708);Datt;[672,550,708];R672 / (R550 * R708);Datt, 1999
21;Datt (672,550);Datt;[672,550];R672 / R550;Datt, 1998
22;Datt (754,704);Datt;[754,704];R754 / R704;Datt, 1999
23;Datt (780,710,680);Datt;[780,710,680];(R780 - R710) / (R780 - R680);Datt, 1999
24;Datt (850,710,680);Datt;[850,710,680];(R850 - R710) / (R850 - R680);Datt, 1999
25;Datt (850,710);Datt;[850,710];R850 / R710;Datt, 1999
26;Datt (860,550,708);Datt;[860,550,708];R860 / (R550 * R708);Datt, 1998
27;Difference LAI (1725,970);DLAI;[1725,970];R1725 - R970;Le Maire et al., 2008
28;Double Difference Index (749,720,701,672);DD;[749,720,701,672];(R749 - R720) - (R701 - R672);Le Maire et al., 2004
29;Double Difference Index (750,720,700,670);DD;[750,720,700,670];(R750 - R720) - (R700 - R670);Le Maire et al., 2004
30;Enhanced Vegetation Index (830,660,460);EVI;[830,660,460];2.5 * (R830 - R660) / (1 + R830 + 6 * R660 - 7.5 * R460 );Huete et al., 1997
31;Enhanced Vegetation Index (830,660,485);EVI;[830,660,485];2.5 * (R830 - R660) / (1 + R830 + 6 * R660 - 7.5 * R485 );Huete et al., 1997
32;Gitelson and Merzlyak (750,550);GM;[750,550];R750 / R550;Gitelson and Merzlyak, 1997
33;Gitelson and Merzlyak (750,700);GM;[750,700];R750 / R700;Gitelson and Merzlyak, 1997
34;Green Model Index (800,550);G-M;[800,550];(R800 / R550) - 1;Gitelson et al., 2005
35;Green Ratio Index (830,550);GRI;[830,550];R830 / R550;Inoue et al., 2008
36;Greenness Index (554,677);GI;[554,677];R554 / R677;Smith et al., 1995
37;Hyperspectral Red Edge Index (855,720);HREI;[855,720];(R855 - R720) / (R855 + R720);Thenkabail et al., 2014
38;Hyperspectral Red Edge Index (910,705);HREI;[910,705];(R910 - R705) / (R910 + R705);Thenkabail et al., 2014
39;Hyperspectral Water and Moisture Index (855,970);HWMI;[855,970];(R855 - R970) / (R855 + R970);Thenkabail et al., 2014
40;MCARI - OSAVI (750,705,550);MCARI - OSAVI;[750,705,550];((R750 - R705) - 0.2 * (R750 - R550)) * (R750 / R705) / (1 + 0.16) * (R750 - R705) / (R750 + R705 + 0.16);Wu et al., 2008b
41;MERIS Terrestrial Chlorophyll Index (750,710,680);MTCI;[750,710,680];(R750 - R710) / (R710 - R680);Dash and Curran, 2004
42;MERIS Terrestrial Chlorophyll Index (754,709,681);MTCI;[754,709,681];(R754 - R709) / (R709 - R681);Dash and Curran, 2004
43;MERIS Terrestrial Chlorophyll Index (800,750,670);MTCI;[800,750,670];(R800 - R750) / (R750 - R670);Dash and Curran, 2004
44;Modified Carotenoid Concentration Index (510,550,780);mCRI;[510,550,780];((1 / R510) - (1 / R550)) * R780;Gitelson et al., 2006
45;Modified Carotenoid Concentration Index (510,700,770);mCRI;[510,700,770];((1 / R510) - (1 / R700)) * R770;Gitelson et al., 2003
46;Modified Chlorophyll Absorption in Reflectance Index (700, 670,550);MCARI;[700, 670,550];((R700 - R670) - (0.2 * (R700 - R550))) * (R700 / R670);Daughtry et al., 2000
47;Modified Chlorophyll Absorption in Reflectance Index (750,705,550);MCARI;[750,705,550];((R750 - R705) - (0.2 * (R750 - R550))) * (R750 / R705);Wu et al., 2008b
48;Modified Chlorophyll Absorption in Reflectance Index (800,670,550);MCARI;[800,670,550];1.5 * ( 2.5 * (R800 - R670) - 1.3 * (R800 - R550)) / √((2 * R800 + 1) * 2 - (6 * R800 - 5* √(R670)) - 0.5);Haboudane et al., 2004
49;Modified Red Edge Normalized Difference Vegetation Index (750,705,445);mNDVI;[750,705,445];(R750 - R705) / (R750 + R705- 2 * R445);Sims and Gamon, 2002
50;Modified Red Edge Normalized Difference Vegetation Index (800,680,445);mNDVI;[800,680,445];(R800 - R680) / (R800 + R680 - 2 * R445);Sims and Gamon, 2002
51;Modified Simple Ratio (600,680);mSR;[600,680];((R600 / R680) - 1) / (√(R600 / R680) + 1);Chen, 1996
52;Modified Simple Ratio (750,705);mSR;[750,705];((R750 / R705) - 1) / (√(R750 / R705) + 1);Chen, 1996
53;Modified Simple Ratio (800,445,680);mSR;[800,445,680];(R800 - R445) / (R680 - R445);Sims and Gamon, 2002
54;Modified Simple Ratio (845,665);mSR;[845,665];((R845 / R665) - 1) / (√(R845 / R665) + 1);Chen, 1996
